2023-11-09 11:09:45.442 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-09 11:09:46.612 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@23b62cc5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7d45c95d, org.springframework.security.web.context.SecurityContextPersistenceFilter@2da26361, org.springframework.security.web.header.HeaderWriterFilter@16acab2, org.springframework.security.web.csrf.CsrfFilter@314b0e84, org.springframework.security.web.authentication.logout.LogoutFilter@2fffaf2f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@32bafacc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6d05a779, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@646da698, org.springframework.security.web.session.SessionManagementFilter@72a6e087, org.springframework.security.web.access.ExceptionTranslationFilter@3efce368, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3c0c3285]
2023-11-09 11:09:46.711 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-09 11:09:46.830 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-09 11:09:46.840 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-09 11:09:46.851 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-09 11:09:46.858 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 1.579 seconds (JVM running for 1.955)
2023-11-09 11:10:12.226 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-09 11:10:12.230 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.7 on FULL8-010 with PID 10348 (D:\spring_boot\shop\build\classes\java\main started by db400tea in D:\spring_boot\shop)
2023-11-09 11:10:12.230 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-09 11:10:12.368 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-09 11:10:12.368 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-09 11:10:12.955 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-09 11:10:12.962 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-09 11:10:12.963 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-09 11:10:12.964 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-09 11:10:13.017 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-09 11:10:13.017 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 648 ms
2023-11-09 11:10:13.265 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: f7d66add-8f7b-4c73-a6bc-9f10ead99f96

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-09 11:10:13.339 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@798c3225, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@644d2e54, org.springframework.security.web.context.SecurityContextPersistenceFilter@65ae32c3, org.springframework.security.web.header.HeaderWriterFilter@1d2486de, org.springframework.security.web.csrf.CsrfFilter@58f5beac, org.springframework.security.web.authentication.logout.LogoutFilter@3081e568, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6c9dde81, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@37467cb4, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@573cf595, org.springframework.security.web.session.SessionManagementFilter@1d6c71a2, org.springframework.security.web.access.ExceptionTranslationFilter@8682600, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@178fc129]
2023-11-09 11:10:13.429 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-09 11:10:13.536 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-09 11:10:13.546 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-09 11:10:13.556 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-09 11:10:13.562 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 1.515 seconds (JVM running for 2.001)
2023-11-09 11:10:18.403 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-09 11:10:18.403 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-09 11:10:18.403 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-09 11:11:30.102 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-09 11:11:30.106 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.7 on FULL8-010 with PID 5184 (D:\spring_boot\shop\build\classes\java\main started by db400tea in D:\spring_boot\shop)
2023-11-09 11:11:30.107 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-09 11:11:30.241 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-09 11:11:30.242 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-09 11:11:30.820 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-09 11:11:30.824 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-09 11:11:30.825 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-09 11:11:30.826 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-09 11:11:30.869 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-09 11:11:30.869 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 627 ms
2023-11-09 11:11:31.041 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: 07ed18ed-94d6-49c2-8091-fe382e43124f

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-09 11:11:31.093 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@538160c9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@668c7eb2, org.springframework.security.web.context.SecurityContextPersistenceFilter@50886241, org.springframework.security.web.header.HeaderWriterFilter@6288db6d, org.springframework.security.web.csrf.CsrfFilter@4a6b3e29, org.springframework.security.web.authentication.logout.LogoutFilter@1b363512, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@57cd61bd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3edf168c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2cc00a0, org.springframework.security.web.session.SessionManagementFilter@2bd01a84, org.springframework.security.web.access.ExceptionTranslationFilter@1f8c7a42, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@a819bb6]
2023-11-09 11:11:31.177 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-09 11:11:31.279 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-09 11:11:31.288 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-09 11:11:31.302 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-09 11:11:31.309 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 1.375 seconds (JVM running for 1.758)
2023-11-09 11:11:42.750 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-09 11:11:42.750 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-09 11:11:42.750 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-09 11:11:43.802 WARN  [http-nio-8085-exec-3] [o.s.w.s.m.s.DefaultHandlerExceptionResolver] - Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'long'; nested exception is java.lang.NumberFormatException: For input string: "addItem"]
2023-11-09 11:13:19.258 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-09 11:13:19.261 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.7 on FULL8-010 with PID 20204 (D:\spring_boot\shop\build\classes\java\main started by db400tea in D:\spring_boot\shop)
2023-11-09 11:13:19.262 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-09 11:13:19.393 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-09 11:13:19.394 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-09 11:13:19.970 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-09 11:13:19.974 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-09 11:13:19.975 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-09 11:13:19.976 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-09 11:13:20.018 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-09 11:13:20.018 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 624 ms
2023-11-09 11:13:20.196 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: e7c12cc1-6805-40e2-a78e-1fd3a05382a2

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-09 11:13:20.250 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@bc812ae, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@196ab57c, org.springframework.security.web.context.SecurityContextPersistenceFilter@6b7e30a6, org.springframework.security.web.header.HeaderWriterFilter@59fc4785, org.springframework.security.web.csrf.CsrfFilter@1872552f, org.springframework.security.web.authentication.logout.LogoutFilter@1b31aeb5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@fc229d1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@697660db, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@19919165, org.springframework.security.web.session.SessionManagementFilter@37d34890, org.springframework.security.web.access.ExceptionTranslationFilter@419004ac, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@622b1178]
2023-11-09 11:13:20.333 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-09 11:13:20.440 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-09 11:13:20.450 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-09 11:13:20.465 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-09 11:13:20.472 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 1.378 seconds (JVM running for 1.774)
2023-11-09 11:13:22.260 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-09 11:13:22.260 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-09 11:13:22.261 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-11-09 11:13:22.285 WARN  [http-nio-8085-exec-1] [o.s.w.s.m.s.DefaultHandlerExceptionResolver] - Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'long'; nested exception is java.lang.NumberFormatException: For input string: "addItem"]
2023-11-09 11:14:13.083 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-09 11:14:13.084 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.7 on FULL8-010 with PID 5444 (D:\spring_boot\shop\build\classes\java\main started by db400tea in D:\spring_boot\shop)
2023-11-09 11:14:13.085 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-09 11:14:13.216 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-09 11:14:13.216 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-09 11:14:13.773 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-09 11:14:13.778 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-09 11:14:13.779 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-09 11:14:13.779 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-09 11:14:13.819 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-09 11:14:13.819 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 603 ms
2023-11-09 11:14:13.991 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: 8a2cc535-556c-400b-a421-2d5a03c78684

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-09 11:14:14.043 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5bb3c6d7, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3a3c1e34, org.springframework.security.web.context.SecurityContextPersistenceFilter@311a1289, org.springframework.security.web.header.HeaderWriterFilter@8fae349, org.springframework.security.web.csrf.CsrfFilter@419191f9, org.springframework.security.web.authentication.logout.LogoutFilter@74a7c688, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4b140696, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@76922080, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@143de60b, org.springframework.security.web.session.SessionManagementFilter@4b35240b, org.springframework.security.web.access.ExceptionTranslationFilter@72a6e087, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@77a09976]
2023-11-09 11:14:14.125 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-09 11:14:14.227 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-09 11:14:14.236 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-09 11:14:14.246 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-09 11:14:14.253 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 1.335 seconds (JVM running for 1.72)
2023-11-09 11:14:16.347 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-09 11:14:16.347 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-09 11:14:16.348 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-11-09 11:14:28.019 INFO  [http-nio-8085-exec-2] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-09 11:14:28.102 INFO  [http-nio-8085-exec-2] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-09 11:18:09.652 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-09 11:18:09.654 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-09 11:18:11.181 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-09 11:18:11.184 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.7 on FULL8-010 with PID 15648 (D:\spring_boot\shop\build\classes\java\main started by db400tea in D:\spring_boot\shop)
2023-11-09 11:18:11.185 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-09 11:18:11.318 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-09 11:18:11.318 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-09 11:18:11.895 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-09 11:18:11.900 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-09 11:18:11.901 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-09 11:18:11.901 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-09 11:18:11.943 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-09 11:18:11.943 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 625 ms
2023-11-09 11:18:12.120 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: f7e1aa10-02f2-45bc-802d-9f330738450c

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-09 11:18:12.173 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5bb3c6d7, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3a3c1e34, org.springframework.security.web.context.SecurityContextPersistenceFilter@311a1289, org.springframework.security.web.header.HeaderWriterFilter@8fae349, org.springframework.security.web.csrf.CsrfFilter@419191f9, org.springframework.security.web.authentication.logout.LogoutFilter@74a7c688, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4b140696, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@76922080, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@143de60b, org.springframework.security.web.session.SessionManagementFilter@4b35240b, org.springframework.security.web.access.ExceptionTranslationFilter@72a6e087, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@77a09976]
2023-11-09 11:18:12.257 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-09 11:18:12.361 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-09 11:18:12.375 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-09 11:18:12.386 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-09 11:18:12.393 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 1.376 seconds (JVM running for 1.81)
2023-11-09 11:18:15.361 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-09 11:18:15.361 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-09 11:18:15.362 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-11-09 11:18:17.478 INFO  [http-nio-8085-exec-2] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-09 11:18:17.524 INFO  [http-nio-8085-exec-2] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-09 11:18:41.362 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-09 11:18:41.365 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-09 11:18:42.749 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-09 11:18:42.753 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.7 on FULL8-010 with PID 1524 (D:\spring_boot\shop\build\classes\java\main started by db400tea in D:\spring_boot\shop)
2023-11-09 11:18:42.754 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-09 11:18:42.896 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-09 11:18:42.897 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-09 11:18:43.455 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-09 11:18:43.460 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-09 11:18:43.461 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-09 11:18:43.461 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-09 11:18:43.503 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-09 11:18:43.503 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 606 ms
2023-11-09 11:18:43.675 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: d9f867d1-a7b7-41c1-a323-51737ea5b2c3

This generated password is for development use only. Your security configuration must be updated before running your application in production.

